TC =  0
   6   73  -37 
  42   27    1 
  81   40   -2 
  88  -25  -11 
  69   95    1 
   1   15  -36 
 -69   65   -5 
  69   35   35 
-107  -29  -79 
 -58  -14   20 
  32   40  -56 
  97  -70  -35 
  26   32 -111 
 -36   68   68 
 107   18  -38 
  95   17  -46 
 -63  -71   33 
 -16   44    9 
  -3  -39  -18 
  -7   -1  -76 
 -57   63    6 
 -69  -41   11 
  62  -15   19 
  -6  -40    3 
  87  -14   87 
 -34  -28  -88 
 -45   -3  -39 
  -9    9   67 
 -39  -42  -44 
  48  -81  -35 
  23  -59   41 
  55  -27   72 
   0    0    0 
 -99  -31  -71 
  95  -19   -4 
 -41   90  -35 
  41   37   -4 
 -34   16 -111 
   3   62   87 
  89  -14  -69 
-109  -17   50 
  71  101  -50 
 -46  -12  -54 
  46    5  -90 
 -36  -91    8 
   3    3   42 
 -49   74  -18 
 -70   59  -68 
 -81  -32   43 
 -39   46   29 
  22  -28  -45 
   1   70  -76 
 -41   21  -34 
 -49  -27  -38 
  63  -58   11 
 -44  104    6 
  15   68   80 
  -8   -7    5 
 -11   48  -59 
  32   34   -8 
  76  -28  -25 
  79   73   13 
 -87   54   61 
  -3  -53   90 
  49  -17  -38 
 -41   50  -63 
 -32   31 -110 
  43    3  104 
  65  -44   81 
 -15  -97  -83 
 -36   57  -69 
  23   93   20 
  98   89   64 
  91   71   84 
 -29   -9   30 
  -2   17   67 
  43  -44  122 
   1   58   75 
  12   60   54 
  35   31  -51 
 -97  101  -43 
 -29  -67   13 
  21    4 -108 
 -57   31  127 
 -46 -102   -1 
 -72  103   36 
 -70   72   59 
 -70   30   78 
  74  -53   26 
 -62  -98   60 
  19   81  -15 
  87    3    7 
 -63  -27  -48 
  62    2  -48 
 -47    1   63 
 -12  -48  -24 
 -51   24    3 
 -86   82  -16 
  24   55  -38 
  45   47  -62 
 -27 -123  -66 
  15  -14  -56 
 -18   46   88 
 127   45   53 
  37 -127   52 
  59   75   77 
  83   73   96 
-111  -32   33 
-126  -29   26 
  20   56   70 
 -16  -10  -51 
 115   -3   43 
 -53   41  -11 
 -35  -13  -74 
  31  -54   11 
  50   19   -9 
  21   76    4 
 -16   38   68 
 -58  -76 -105 
  55   68   75 
 -16   20    9 
 -53  -46   55 
 -13  -54   45 
 -11   33   20 
 -85  -65  -15 
  90   13  -35 
  24  -29  -49 
  12   50  -28 
  97   83   24 
   4  -65  -15 
 -47   24 -113 
  -8  127   70 
  32   45  -29 
  40   30  101 
  52   41   51 
  86   21  -78 
  34  -23  -56 
  17  -15  -62 
 -93    9  -56 
 -48   13 -103 
  36   31  -57 
 -50   71  -21 
  18   -7   27 
  46  -35   -9 
  79  -34   28 
 -51  123   76 
  47  -44  -57 
  21  -31    7 
 103  -47   62 
 -11   17   21 
 -23   55  -46 
 -44  -12   45 
 -84   -5   20 
  18   59  127 
 -34   35  -57 
 -64   78  -12 
 -84   -1   -3 
 -27  -73  -57 
  58   -2   37 
 -48  -44    1 
-127   53   89 
  23 -102  -53 
  41  -84    8 
  42   14  -16 
  34  -36   22 
 -64   16  -82 
   4   22    9 
  41  -89   67 
-127  -60   35 
  -9   56   51 
 -14   64  -14 
  31   17   82 
  73 -100  -90 
 -27   47   87 
 -11   29  -49 
 -31  -56  127 
 -25  -49  -92 
  44   61  -25 
  58  -68  -11 
-113    1  -48 
 -40  -24  -15 
  72  -59    7 
